Image ID,Patch X,Patch Y,Dominant Species,Percentage,Total Blobs
aug_0012,0,0,puccinellia,100.0,1
aug_0014,0,0,puccinellia,100.0,1
aug_0019,0,0,puccinellia,100.0,1
aug_0020,0,0,puccinellia,100.0,1
aug_0026,0,1,puccinellia,100.0,1
aug_0026,1,0,puccinellia,100.0,1
aug_0026,1,1,puccinellia,100.0,1
aug_0060,0,0,puccinellia,100.0,1
aug_0084,0,0,puccinellia,100.0,1
aug_0093,0,0,puccinellia,100.0,1
aug_0114,0,0,puccinellia,100.0,2
aug_0133,0,0,puccinellia,100.0,1
aug_0156,0,0,puccinellia,100.0,2
aug_0156,1,1,puccinellia,100.0,1
aug_0161,0,0,puccinellia,100.0,2
aug_0165,0,0,puccinellia,100.0,1
aug_0178,0,0,puccinellia,100.0,1
aug_0181,0,0,puccinellia,100.0,1
aug_0243,0,0,puccinellia,100.0,1
aug_0253,0,0,puccinellia,100.0,1
aug_0263,0,0,puccinellia,100.0,1
aug_0268,0,0,puccinellia,100.0,1
aug_0272,0,0,puccinellia,100.0,1
aug_0279,0,0,puccinellia,100.0,1
aug_0291,0,0,puccinellia,100.0,1
aug_0302,0,0,puccinellia,100.0,1
aug_0318,0,0,puccinellia,100.0,1
aug_0345,0,0,puccinellia,100.0,1
aug_0355,0,0,puccinellia,100.0,1
aug_0357,0,0,puccinellia,100.0,1
aug_0362,0,0,puccinellia,100.0,1
aug_0362,1,0,puccinellia,100.0,1
aug_0367,0,0,puccinellia,100.0,1
aug_0381,0,0,puccinellia,100.0,1
aug_0383,0,0,puccinellia,100.0,1
aug_0430,0,0,puccinellia,100.0,1
aug_0430,0,1,puccinellia,100.0,1
aug_0431,0,0,puccinellia,100.0,1
aug_0431,0,1,puccinellia,100.0,1
aug_0442,0,1,puccinellia,100.0,1
aug_0443,0,0,puccinellia,100.0,1
aug_0445,0,0,puccinellia,100.0,1
aug_0447,0,0,puccinellia,100.0,1
aug_0453,0,0,puccinellia,100.0,1
aug_0474,0,0,puccinellia,100.0,1
aug_0476,0,0,puccinellia,100.0,1
aug_0489,0,0,puccinellia,100.0,1
aug_0489,0,1,puccinellia,100.0,1
aug_0493,0,1,puccinellia,100.0,1
aug_0494,0,1,puccinellia,100.0,1
aug_0502,1,0,puccinellia,100.0,1
aug_0534,0,0,puccinellia,100.0,1
aug_0563,0,0,puccinellia,100.0,2
aug_0563,0,1,puccinellia,100.0,1
aug_0606,0,0,puccinellia,100.0,1
aug_0609,0,0,puccinellia,100.0,1
aug_0618,0,0,puccinellia,100.0,2
aug_0618,1,0,puccinellia,100.0,1
aug_0623,0,1,puccinellia,100.0,1
aug_0623,1,0,puccinellia,100.0,1
aug_0628,0,0,puccinellia,100.0,1
aug_0632,0,0,puccinellia,100.0,2
aug_0635,0,0,puccinellia,100.0,1
aug_0642,0,0,puccinellia,100.0,1
aug_0666,0,0,puccinellia,100.0,1
aug_0697,0,0,puccinellia,100.0,1
aug_0732,0,0,puccinellia,100.0,2
aug_0737,0,1,puccinellia,100.0,1
aug_0740,0,0,puccinellia,100.0,1
aug_0743,0,0,puccinellia,100.0,1
aug_0744,0,0,puccinellia,100.0,1
aug_0758,0,0,puccinellia,100.0,1
aug_0763,0,1,puccinellia,100.0,1
aug_0782,0,0,spartina,100.0,1
aug_0782,1,0,puccinellia,100.0,1
aug_0793,1,0,puccinellia,100.0,1
aug_0801,0,0,puccinellia,100.0,1
aug_0803,0,0,puccinellia,100.0,1
aug_0840,0,0,puccinellia,100.0,2
aug_0840,1,0,puccinellia,100.0,1
